Year,Rep_1,Rep_2,Rep_3,Rep_4,Rep_5,Rep_6,Rep_7,Rep_8,Rep_9,Rep_10,Rep_11,Rep_12,Rep_13,Rep_14,Rep_15,Rep_16,Rep_17,Rep_18,Rep_19,Rep_20,Rep_21,Rep_22,Rep_23,Rep_24,Rep_25,Rep_26,Rep_27,Rep_28,Rep_29,Rep_30,Rep_31,Rep_32,Rep_33,Rep_34,Rep_35,Rep_36,Rep_37,Rep_38,Rep_39,Rep_40,Maxdesv,Mean,Mindesv,Generation
1732,6946.04,5740.37,6333.65,6722.22,5833.05,3937.42,5182.6,5713.14,6150.99,4706.06,4850.63,4797.82,5915.12,2830.2,4501.38,3961.85,4467.39,5552.71,3454.92,3600.95,5249.06,5100.94,8049.57,5012.48,6003.4,3901.12,4829.23,4747.31,5921.02,4455.33,3673.71,4902.04,5434.12,5051.36,4317.05,4922.93,4289.7,5948.66,4903.63,6344.71,5296.177086574306,4967.705,4639.232913425694,71.0
1728,6898.06,6012.98,6356.47,6873.08,6031.4,3963.07,5271.48,5836.77,6189.79,4930.05,4913.45,4810.6,5693.67,2888.39,4590.11,4016.76,4511.63,5479.85,3672.38,3853.74,5132.1,5159.38,8131.82,4969.58,6045.98,4079.52,4707.11,4749.64,6124.04,4554.4,3925.57,4833.0,5355.24,5089.56,4382.92,4952.53,4477.18,5832.79,4961.79,6348.25,5286.46781946609,4965.6849999999995,4644.902180533909,72.0
1724,6822.99,6275.81,6205.44,6982.91,6044.15,4039.15,5358.82,5904.2,6241.43,4891.02,4970.87,4824.2,5552.77,2888.4,4691.92,4033.24,4496.64,5535.24,4117.08,4353.18,5077.16,5116.57,8071.28,4927.63,6091.44,4066.92,4703.96,4870.73,6325.38,4549.64,4068.48,4753.66,5527.84,5143.07,4402.02,4976.62,4509.49,5857.58,5023.17,6495.9,5313.082732244779,4999.895,4686.707267755221,73.0
1720,6804.41,6342.42,6164.27,7118.23,6114.04,4141.73,5326.49,6057.48,6173.68,4845.81,4897.93,4770.64,5554.73,2922.62,4760.11,3999.45,4424.2,5565.28,4295.82,4899.18,5165.49,5189.55,7961.15,4867.25,6063.18,4131.46,4649.62,5152.1,6471.06,4665.01,4240.7,4734.51,5755.55,5240.46,4431.71,4956.2,4558.81,5923.89,5034.35,6420.17,5400.118803018505,5093.225,4786.331196981496,74.0
1716,6905.77,6347.87,6054.16,7171.7,6040.26,4423.76,5244.22,6304.92,6253.69,4783.63,4855.19,4689.37,5540.35,2954.77,4834.73,4186.86,4545.71,5545.45,4555.14,5086.18,5249.89,5187.66,7842.02,4865.83,6058.1,4155.62,4675.42,5303.98,6472.77,4902.57,4208.24,4694.7,5740.24,5378.28,4424.67,5005.47,4590.38,5943.39,4972.78,6276.85,5434.674676882737,5136.92,4839.165323117263,75.0
1712,6876.96,6346.83,5944.61,7216.3,6045.48,4637.47,5203.89,6401.1,6189.36,4949.01,4822.59,4600.59,5576.6,2968.43,4864.62,4372.44,4569.87,5539.3,4927.41,5129.58,5449.8,5225.01,7686.54,5004.74,5997.91,4247.88,4725.39,5288.5,6321.31,5182.38,4288.16,4676.87,5779.56,5317.63,4466.28,5031.2,4695.65,5924.6,4919.5,6070.34,5474.999040348877,5193.135,4911.270959651123,76.0
1708,6773.98,6334.31,5886.02,7238.95,6017.71,4870.64,5197.4,6435.09,6238.54,5003.14,4723.82,4555.53,5662.48,2999.66,4858.32,4402.99,4667.55,5598.01,5018.45,5117.51,5565.9,5249.85,7599.47,5008.19,5968.08,4352.9,4776.42,5287.38,6279.0,5160.64,4292.15,4673.58,5740.69,5291.78,4464.27,5024.93,4828.53,5944.11,4900.44,6027.23,5453.552660308895,5179.02,4904.487339691106,77.0
1704,6640.88,6322.62,5780.36,7325.8,6104.24,5042.02,5198.3,6431.8,6236.25,4990.66,4694.66,4531.5,5849.8,3155.24,4978.07,4466.24,4734.37,5653.86,5256.57,5107.22,5547.79,5349.93,7560.71,5008.98,5972.76,4309.18,4853.71,5288.84,5971.04,5178.66,4249.64,4655.64,5729.02,5302.49,4457.01,5060.42,4925.81,5891.89,4927.5,5992.33,5493.4926317298505,5227.4349999999995,4961.3773682701485,78.0
1700,6462.31,6343.65,5707.96,7296.5,6128.92,5154.49,5213.95,6469.03,6286.65,4999.43,4648.05,4597.91,5956.94,3267.15,4941.29,4416.6,4802.09,5630.01,5337.09,5119.14,5550.85,5474.98,7571.82,5090.88,5919.12,4329.5,4970.36,5236.28,5945.27,5138.47,4376.13,4615.07,5721.84,5311.07,4440.6,5031.72,4939.27,5829.95,4980.66,5989.35,5484.877483008317,5225.115,4965.352516991683,79.0
1696,6392.61,6388.98,5774.11,7148.3,6206.16,5176.61,5216.45,6488.74,6339.45,5142.45,4597.73,4673.13,6046.65,3487.8,4864.9,4326.58,4871.89,5613.7,5325.5,5105.02,5529.5,5531.21,7520.2,5070.88,5919.8,4345.36,5061.21,5274.43,5954.17,5145.07,4509.28,4620.16,5755.58,5195.2,4420.49,5040.03,4936.2,5846.1,4975.86,6036.47,5458.565557699961,5205.825,4953.084442300039,80.0
1692,6313.18,6338.89,5804.16,7029.79,6225.38,5245.83,5211.03,6538.04,6278.21,5234.56,4634.86,4761.22,6282.56,3579.11,4918.64,4331.37,4967.86,5650.12,5413.89,4999.86,5532.72,5576.32,7656.95,5110.14,5913.05,4408.53,5219.05,5288.1,5928.06,5146.77,4619.08,4626.53,5784.18,5141.42,4499.34,5081.28,5002.82,5832.46,4977.36,6067.7,5488.207319943461,5240.195,4992.182680056539,81.0
1688,6350.96,6263.76,5933.57,6883.15,6265.72,5193.18,5249.99,6487.82,6238.12,5404.3,4760.03,4736.62,6436.28,3608.66,4970.96,4266.82,5128.88,5601.03,5535.71,4930.21,5612.2,5589.75,7805.59,5128.4,5853.17,4414.22,5271.31,5343.6,5958.34,5130.7,4702.47,4669.81,5819.84,5064.61,4575.07,5068.97,5060.45,5831.33,4908.78,6056.83,5554.962728727593,5307.455,5059.947271272407,82.0
1684,6383.19,6262.69,6051.7,6776.13,6255.03,5194.94,5248.15,6519.99,6241.24,5479.91,4766.68,4700.0,6416.24,3611.17,4991.78,4596.29,5227.31,5603.77,5554.96,4884.37,5648.63,5600.01,7867.59,5206.6,5835.45,4330.17,5224.98,5320.95,6069.3,5219.28,4985.22,4711.09,5857.72,5012.2,4671.77,5127.29,5180.12,5857.44,4817.41,6072.46,5528.3231752230895,5284.549999999999,5040.776824776909,83.0
1680,6331.22,6148.15,5967.41,6683.68,6279.65,5160.97,5227.95,6471.69,6228.12,5558.53,4760.77,4679.61,6378.97,3559.3,5091.11,4603.72,5238.01,5585.81,5580.23,4833.4,5584.36,5518.9,7851.18,5224.95,5864.96,4326.27,5172.58,5362.1,6107.99,5350.77,5102.52,4719.7,6020.35,4969.8,4753.93,5104.85,5324.79,5876.11,4825.74,6083.51,5596.80850221246,5356.435,5116.061497787541,84.0
1676,6396.1,6009.05,6001.57,6518.32,6258.85,5271.3,5236.4,6448.28,6165.96,5607.84,4746.68,4660.86,6353.74,3510.63,5163.63,4555.27,5220.65,5479.57,5414.7,4820.75,5520.23,5359.96,7811.84,5244.6,5893.4,4386.38,5146.92,5328.29,6211.61,5411.65,5138.68,4750.73,6285.58,5017.94,4699.31,5196.65,5582.09,5965.41,4810.1,6058.6,5625.10436060455,5385.805,5146.505639395451,85.0
1672,6408.84,5881.71,5883.33,6534.14,6189.07,5376.72,5271.4,6369.61,6139.47,5633.44,4712.8,4683.27,6262.38,3463.52,5114.22,4546.09,5147.97,5520.47,5363.03,4901.58,5425.23,5305.64,7782.48,5318.35,5897.58,4501.03,5126.56,5384.06,6208.65,5486.14,5122.25,4704.69,6363.75,5052.03,4689.17,5228.74,5658.42,6190.71,4816.56,6117.66,5618.095192558897,5380.39,5142.684807441104,86.0
1668,6366.51,5847.33,5846.29,6595.91,6262.12,5352.22,5264.59,6394.64,6098.6,5691.68,4746.62,4741.37,6326.13,3434.89,5105.76,4560.66,5072.67,5519.61,5392.48,4883.58,5499.25,5265.94,7783.05,5230.35,5900.63,4551.94,5217.99,5520.07,6269.44,5480.68,5168.25,4725.46,6415.89,5047.01,4647.2,5266.96,5728.02,6191.3,4805.05,6069.21,5675.882806778554,5436.58,5197.2771932214455,87.0
1664,6490.63,5863.85,5858.56,6746.89,6242.07,5266.92,5271.82,6415.86,6149.92,5669.85,4752.98,4874.46,6190.49,3403.34,5102.2,4809.3,5097.31,5455.03,5379.74,4887.13,5498.98,5241.43,7732.32,5249.64,5971.34,4695.39,5187.38,5563.19,6187.59,5489.19,5216.79,4811.87,6406.93,5105.76,4643.8,5298.34,5778.9,6129.88,4830.8,6197.09,5652.979322129222,5417.385,5181.790677870778,88.0
1660,6596.19,5867.34,5843.5,6966.85,6078.85,5150.39,5265.16,6384.18,6205.5,5682.04,4873.99,4873.99,6019.74,3365.22,5174.43,5175.06,5118.4,5411.8,5481.5,4934.61,5585.38,5352.3,7701.28,5285.75,6043.88,4950.27,5181.46,5553.35,6035.49,5528.52,5317.38,4914.8,6393.1,5123.35,4654.8,5265.44,5680.58,6065.68,4795.72,6288.83,5677.272234041094,5446.65,5216.027765958906,89.0
1656,6745.86,5756.17,5870.37,7042.83,5980.98,5072.48,5239.05,6267.5,6210.87,5744.91,5017.58,4904.27,5951.19,3282.13,5225.43,5213.86,5130.48,5396.73,5482.12,5112.95,5648.63,5351.54,7742.44,5290.72,6083.82,5250.16,5183.47,5448.57,6012.15,5582.74,5318.97,4996.13,6390.2,5185.86,4639.74,5286.99,5540.74,5969.14,4757.49,6425.64,5654.134532013381,5422.65,5191.165467986618,90.0
1652,6858.89,5713.61,5913.15,7211.4,5956.35,5012.19,5268.28,6282.72,6272.18,5756.25,4994.95,4933.59,5908.71,3242.33,5253.05,5360.37,5045.83,5487.97,5487.85,5332.52,5627.08,5358.16,7862.86,5377.18,6079.96,5305.63,5215.78,5475.8,5983.81,5576.84,5332.69,5010.66,6314.05,5200.39,4717.84,5245.65,5480.43,5875.89,4816.77,6417.05,5714.172381544279,5478.115,5242.05761845572,91.0
1648,6913.3,5669.69,6009.91,7174.24,5909.26,4948.7,5289.69,6346.89,6365.96,5742.29,4928.75,4948.76,5859.77,3190.85,5307.68,5621.6,4919.71,5519.55,5498.28,5462.06,5630.11,5366.98,7907.22,5363.12,6080.71,5475.46,5291.19,5488.84,5897.0,5684.49,5332.05,5062.48,6314.21,5183.86,4768.53,5235.68,5435.32,5880.66,4918.41,6290.04,5730.71586296976,5493.5599999999995,5256.404137030239,92.0
1644,6968.02,5746.02,6072.27,7283.62,5846.87,4916.11,5325.78,6384.21,6347.67,5674.99,4863.75,4994.43,5720.5,3176.79,5350.69,5725.27,4955.87,5559.27,5746.7,5545.81,5608.08,5396.67,8101.04,5278.54,6122.5,5466.06,5410.21,5446.83,5841.49,5713.09,5314.98,5116.03,6343.16,5043.86,4852.53,5252.8,5326.07,5752.77,5005.76,6243.07,5796.453487321865,5552.540000000001,5308.626512678136,93.0
1640,6919.59,5838.86,6063.47,7258.12,5791.88,4943.89,5335.15,6344.17,6280.77,5574.64,4811.58,5018.19,5650.1,3237.16,5391.94,5716.56,4907.31,5605.3,5869.35,5622.23,5593.37,5370.12,8349.78,5253.24,6115.0,5516.61,5468.43,5557.5,5821.67,5758.14,5304.99,5146.21,6330.99,4903.62,4947.46,5350.13,5348.14,5660.96,5017.84,6159.14,5830.419364085803,5584.005,5337.590635914197,94.0
1636,6801.18,5916.3,6015.38,7325.61,5838.05,4977.91,5338.12,6284.33,6323.67,5476.93,4767.67,4934.29,5650.84,3306.39,5416.2,5708.33,4889.45,5693.82,5723.13,5559.75,5562.07,5407.54,8280.91,5239.62,6063.46,5516.47,5462.83,5547.2,5784.19,5825.76,5268.03,5098.43,6288.24,4827.83,4978.66,5355.48,5365.43,5552.61,4980.56,6066.93,5792.9404362432415,5549.905,5306.869563756758,95.0
1632,6706.43,5890.77,5983.98,7373.29,5837.92,4961.11,5369.35,6156.51,6345.34,5386.99,4881.53,4906.92,5587.96,3374.51,5385.17,5589.93,4920.82,5749.05,5583.76,5512.94,5499.5,5463.6,8320.44,5270.72,6051.62,5514.7,5305.86,5579.45,5769.94,5853.61,5279.6,5072.05,6193.75,4801.5,4963.32,5318.95,5344.92,5524.94,4983.32,6165.44,5755.122235088208,5513.82,5272.517764911791,96.0
1628,6591.68,5888.24,5930.29,7403.93,5911.25,4961.66,5427.95,6088.28,6297.35,5391.16,4988.67,4842.93,5602.11,3466.72,5288.97,5563.24,4887.18,5800.75,5547.88,5613.57,5497.52,5362.14,8313.33,5232.32,5981.86,5512.81,5244.68,5563.78,5727.67,5904.1,5311.08,5067.24,6139.09,4825.89,4944.37,5211.48,5320.5,5608.49,4924.97,6197.12,5768.918606373426,5530.345,5291.7713936265745,97.0
1624,6563.91,5817.04,5948.47,7367.31,5959.99,4945.18,5494.77,5986.94,6347.34,5316.76,5077.86,4815.73,5650.0,3519.72,5296.09,5510.11,4955.38,5864.29,5572.07,5608.49,5583.73,5313.47,8175.47,5226.76,5942.84,5537.41,5362.21,5650.0,5800.22,5869.07,5325.06,4999.83,6015.72,4838.88,4922.85,5231.85,5264.3,5650.86,4863.88,6159.52,5786.447074961503,5554.74,5323.032925038497,98.0
1620,6551.02,5744.34,6020.27,7313.49,6012.15,4866.1,5568.97,5858.83,6390.12,5323.99,5187.39,4808.1,5594.13,3560.96,5197.89,5478.29,4957.7,5832.78,5743.2,5561.95,5588.18,5219.07,8075.34,5234.75,5853.79,5563.61,5400.95,5712.12,5895.25,5783.32,5319.2,4994.13,5911.28,4976.02,4904.54,5152.26,5213.23,5808.31,4866.7,6243.74,5793.907493453154,5566.29,5338.672506546846,99.0
1616,6618.01,5716.75,6082.14,7338.33,6066.83,4702.31,5615.64,5850.82,6503.55,5364.31,5107.28,4820.0,5610.54,3562.18,5159.59,5273.99,4996.03,5819.74,6148.17,5432.85,5532.31,5164.38,8008.91,5238.36,5771.77,5553.15,5454.95,5813.62,6002.23,5777.95,5319.75,5002.77,5974.88,5031.87,4850.33,5140.81,5209.9,5990.75,4846.24,6321.42,5777.25004258054,5542.73,5308.209957419459,
1612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
